level,required_exp,max_hp,max_best_friend,max_battle_party,closeness_bonus,reward_deal_id,bot_daily_limit,bot_encounter_factor
1,0,50,1,3,0,0,0,0
2,1,100,1,3,0,1002,10,1
3,4,105,1,3,0,1003,10,1
4,9,110,1,3,0,1004,10,1
5,23,115,1,3,0,1005,10,1
6,42,120,1,4,0,1006,10,1
7,66,125,1,4,0,1007,9,1
8,97,130,1,4,0,1008,9,1
9,134,135,1,4,0,1009,9,1
10,178,140,1,4,0,1010,9,1
11,230,145,1,4,0,1011,9,1
12,290,150,1,4,0,1012,8,0.9
13,358,155,1,4,0,1013,8,0.9
14,435,160,1,4,0,1014,8,0.9
15,521,165,1,4,0,1015,8,0.9
16,616,170,1,4,0,1016,8,0.9
17,721,175,1,4,0,1017,7,0.8
18,836,180,1,4,0,1018,7,0.8
19,960,185,1,4,0,1019,7,0.8
20,1096,190,1,4,0,1020,7,0.8
21,1242,195,1,4,0,1021,7,0.8
22,1399,200,1,4,0.1,1022,6,0.7
23,1567,205,1,4,0.1,1023,6,0.7
24,1747,210,1,4,0.1,1024,6,0.7
25,1939,215,1,4,0.1,1025,6,0.7
26,2143,220,1,4,0.1,1026,6,0.7
27,2360,225,1,4,0.1,1027,5,0.6
28,2590,230,1,4,0.1,1028,5,0.6
29,2832,235,1,4,0.1,1029,5,0.6
30,3088,240,1,4,0.1,1030,5,0.6
31,3357,245,1,4,0.1,1031,5,0.6
32,3640,250,2,4,0.1,1032,4,0.5
33,3938,255,2,4,0.1,1033,4,0.5
34,4249,260,2,4,0.1,1034,4,0.5
35,4575,265,2,4,0.1,1035,4,0.5
36,4916,270,2,4,0.1,1036,4,0.5
37,5272,275,2,4,0.1,1037,3,0.4
38,5642,280,2,4,0.1,1038,3,0.4
39,6029,285,2,4,0.1,1039,3,0.4
40,6431,290,2,4,0.1,1040,3,0.4
41,6848,295,2,4,0.1,1041,3,0.4
42,7281,300,2,5,0.2,1042,2,0.3
43,7732,305,2,5,0.2,1043,2,0.3
44,8202,310,2,5,0.2,1044,2,0.3
45,8694,315,2,5,0.2,1045,2,0.3
46,9210,320,2,5,0.2,1046,2,0.3
47,9752,325,2,5,0.2,1047,2,0.2
48,10322,330,2,5,0.2,1048,2,0.2
49,10923,335,2,5,0.2,1049,2,0.2
50,11557,340,2,5,0.2,1050,2,0.2
51,12225,345,2,5,0.2,1051,2,0.2
52,12931,350,3,5,0.2,1052,2,0.2
53,13676,355,3,5,0.2,1053,2,0.2
54,14462,360,3,5,0.2,1054,2,0.2
55,15293,365,3,5,0.2,1055,2,0.2
56,16169,370,3,5,0.2,1056,2,0.2
57,17093,375,3,5,0.2,1057,2,0.2
58,18068,380,3,5,0.2,1058,2,0.2
59,19095,385,3,5,0.2,1059,2,0.2
60,20177,390,3,5,0.2,1060,2,0.2
61,21315,395,3,5,0.2,1061,2,0.2
62,22513,400,3,5,0.3,1062,1,0.2
63,23772,405,3,5,0.3,1063,1,0.2
64,25094,410,3,5,0.3,1064,1,0.2
65,26483,415,3,5,0.3,1065,1,0.2
66,27939,420,3,5,0.3,1066,1,0.2
67,29465,425,3,5,0.3,1067,1,0.2
68,31064,430,3,5,0.3,1068,1,0.2
69,32737,435,3,5,0.3,1069,1,0.2
70,34486,440,3,5,0.3,1070,1,0.2
71,36314,445,3,5,0.3,1071,1,0.2
72,38224,450,3,5,0.3,1072,1,0.2
73,40223,455,3,5,0.3,1073,1,0.2
74,42327,460,3,5,0.3,1074,1,0.2
75,44555,465,3,5,0.3,1075,1,0.2
76,46934,470,3,5,0.3,1076,1,0.2
77,49496,475,3,5,0.3,1077,1,0.2
78,52279,480,3,5,0.3,1078,1,0.2
79,55327,485,3,5,0.3,1079,1,0.2
80,58689,490,3,5,0.3,1080,1,0.2
81,62424,495,3,5,0.3,1081,1,0.2
82,66592,500,3,5,0.4,1082,1,0.2
83,71261,505,3,5,0.4,1083,1,0.2
84,76507,510,3,5,0.4,1084,1,0.2
85,82409,515,3,5,0.4,1085,1,0.2
86,89052,520,3,5,0.4,1086,1,0.2
87,96531,525,3,5,0.4,1087,1,0.2
88,104942,530,3,5,0.4,1088,1,0.2
89,114389,535,3,5,0.4,1089,1,0.2
90,124984,540,3,5,0.4,1090,1,0.2
91,136842,545,3,5,0.4,1091,1,0.2
92,150084,550,3,5,0.4,1092,1,0.2
93,164840,555,3,5,0.4,1093,1,0.2
94,181244,560,3,5,0.4,1094,1,0.2
95,199435,565,3,5,0.4,1095,1,0.2
96,219561,570,3,5,0.4,1096,1,0.2
97,241772,575,3,5,0.4,1097,1,0.2
98,266227,580,3,5,0.4,1098,1,0.2
99,293090,585,3,5,0.4,1099,1,0.2
100,322532,590,3,5,0.4,1100,1,0.2
101,354728,595,3,5,0.4,1101,1,0.2
102,389861,600,3,5,0.5,1102,1,0.1
103,428119,605,3,5,0.5,1103,1,0.1
104,469696,610,3,5,0.5,1104,1,0.1
105,514792,615,3,5,0.5,1105,1,0.1
106,563614,620,3,5,0.5,1106,1,0.1
107,616373,625,3,5,0.5,1107,1,0.1
108,673288,630,3,5,0.5,1108,1,0.1
109,734583,635,3,5,0.5,1109,1,0.1
110,800488,640,3,5,0.5,1110,1,0.1
111,871238,645,3,5,0.5,1111,1,0.1
112,947077,650,3,5,0.5,1112,1,0.1
113,1028252,655,3,5,0.5,1113,1,0.1
114,1115018,660,3,5,0.5,1114,1,0.1
115,1207635,665,3,5,0.5,1115,1,0.1
116,1306369,670,3,5,0.5,1116,1,0.1
117,1411491,675,3,5,0.5,1117,1,0.1
118,1523280,680,3,5,0.5,1118,1,0.1
119,1642021,685,3,5,0.5,1119,1,0.1
120,1768003,690,3,5,0.5,1120,1,0.1
121,1901522,695,3,5,0.5,1121,1,0.1
