id,name,gacha_id,lot_group,play_time,sub_lot_group,sub_lot_play_time,pay_type,coin_id,price,limit_type,limit_time
1,チュートリアルガシャ10連,1,18062712,9,18062713,1,4,0,0,0,0
150001,スペシャルコインガシャ1連,100001,18062701,1,0,0,1,405008,1,0,0
150002,スペシャルコインガシャ10連,100001,18062701,10,0,0,1,405008,10,0,0
150003,５つ星コインガシャ1連,100001,18062702,1,0,0,1,405007,1,0,0
150004,５つ星コインガシャ10連,100001,18062702,10,0,0,1,405007,10,0,0
150005,１つ星コインガシャ1連,100001,18062703,1,0,0,1,405001,1,0,0
150006,１つ星コインガシャ10連,100001,18062703,10,0,0,1,405001,10,0,0
150007,赤コインガシャ1連,100001,18062704,1,0,0,1,404001,1,0,0
150008,赤コインガシャ10連,100001,18062704,10,0,0,1,404001,10,0,0
150009,黄色コインガシャ1連,100001,18062705,1,0,0,1,404002,1,0,0
150010,黄色コインガシャ10連,100001,18062705,10,0,0,1,404002,10,0,0
150011,オレンジコインガシャ1連,100001,18062706,1,0,0,1,404003,1,0,0
150012,オレンジコインガシャ10連,100001,18062706,10,0,0,1,404003,10,0,0
150013,桃コインガシャ1連,100001,18062707,1,0,0,1,404004,1,0,0
150014,桃コインガシャ10連,100001,18062707,10,0,0,1,404004,10,0,0
150015,緑コインガシャ1連,100001,18062708,1,0,0,1,404005,1,0,0
150016,緑コインガシャ10連,100001,18062708,10,0,0,1,404005,10,0,0
150017,青コインガシャ1連,100001,18062709,1,0,0,1,404006,1,0,0
150018,青コインガシャ10連,100001,18062709,10,0,0,1,404006,10,0,0
150019,紫コインガシャ1連,100001,18062710,1,0,0,1,404007,1,0,0
150020,紫コインガシャ10連,100001,18062710,10,0,0,1,404007,10,0,0
150021,水色コインガシャ1連,100001,18062711,1,0,0,1,404008,1,0,0
150022,水色コインガシャ10連,100001,18062711,10,0,0,1,404008,10,0,0
150023,お祭りコインガシャ1連,100001,18062720,1,0,0,1,406001,1,0,0
150024,お祭りコインガシャ10連,100001,18062720,10,0,0,1,406001,10,0,0
150025,ファミマコインガシャ1連,100001,18062721,1,0,0,1,407001,1,0,0
150026,ファミマコインガシャ10連,100001,18062721,10,0,0,1,407001,10,0,0
150027,ドコモコイン1ガシャ1連,100001,18071801,1,0,0,1,406002,1,0,0
150028,ドコモコイン1ガシャ10連,100001,18071801,10,0,0,1,406002,10,0,0
350003,ニョロロン族 ピックアップ 妖怪ガシャ1連,300002,18062714,1,0,0,2,0,5,0,0
350004,ニョロロン族 ピックアップ 妖怪ガシャ10連,300002,18062714,9,18062715,1,2,0,50,0,0
350005,ポカポカ族 ピックアップ 妖怪ガシャ1連,300003,18073112,1,0,0,2,0,5,0,0
350006,ポカポカ族 ピックアップ 妖怪ガシャ10連,300003,18073112,9,18073113,1,2,0,50,0,0
550001,リリース記念!ジバ&コマ ピックアップ 妖怪ガシャ 1連,500001,18062716,1,0,0,2,0,5,0,0
550002,リリース記念!ジバ&コマ ピックアップ 妖怪ガシャ 10連,500001,18062716,9,18062717,1,2,0,50,0,0
550003,リリース記念!女子会 ピックアップ 妖怪ガシャ 1連,500002,18062718,1,0,0,2,0,5,0,0
550004,リリース記念!女子会 ピックアップ 妖怪ガシャ 10連,500002,18062718,9,18062719,1,2,0,50,0,0
550005,バカンス ピックアップ 妖怪ガシャ 1連,500003,18073114,1,0,0,2,0,5,0,0
550006,バカンス ピックアップ 妖怪ガシャ 10連,500003,18073114,9,18073115,1,2,0,50,0,0
