id,schedule_id,title_type,title_id,group_id,accumulated_group,display_type,icon_id,starting_flag,action_type1,action_id1,count_type1,condition_count1,action_type2,action_id2,count_type2,condition_count2,action_type3,action_id3,count_type3,condition_count3,required_quests,required_act_type,required_act_id,required_cond_cnt,random_id,cooldown,period_reset_type,possible_period_count,possible_clear_count,reward_deal_id
1000100,1,1,4000,0,1000100,1,0,1,11,1,5,5,13,0,1,5,18,0,1,5,0,0,0,0,0,0,0,0,1,101
1000200,1,1,4000,0,1000100,1,0,0,11,2,5,10,13,0,1,15,18,0,1,17,1000100,0,0,0,0,0,0,0,1,102
1000300,1,1,4000,0,1000100,1,0,0,11,3,5,20,13,0,1,30,18,0,1,27,1000200,0,0,0,0,0,0,0,1,103
1000400,1,1,4000,0,1000100,1,0,0,11,4,5,20,13,0,1,50,18,0,1,33,1000300,0,0,0,0,0,0,0,1,104
1000500,1,1,4000,0,1000100,1,0,0,11,5,5,20,13,0,1,70,18,0,1,37,1000400,0,0,0,0,0,0,0,1,105
1001000,1,2,4,0,1001000,4,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,352
1001100,1,2,4,0,1001000,4,0,0,9,0,1,2,0,0,0,0,0,0,0,0,1001000,0,0,0,0,0,0,0,1,351
1001200,1,2,4,0,1001000,4,0,0,9,0,1,3,0,0,0,0,0,0,0,0,1001100,0,0,0,0,0,0,0,1,350
1001300,1,2,4,0,1001000,4,0,0,9,0,1,4,0,0,0,0,0,0,0,0,1001200,0,0,0,0,0,0,0,1,349
1001400,1,2,4,0,1001000,4,0,0,9,0,1,5,0,0,0,0,0,0,0,0,1001300,0,0,0,0,0,0,0,1,348
1001500,1,2,4,0,1001000,4,0,0,9,0,1,6,0,0,0,0,0,0,0,0,1001400,0,0,0,0,0,0,0,1,347
1001600,1,2,4,0,1001000,4,0,0,9,0,1,7,0,0,0,0,0,0,0,0,1001500,0,0,0,0,0,0,0,1,329
1001700,1,2,4,0,1001000,4,0,0,9,0,1,8,0,0,0,0,0,0,0,0,1001600,0,0,0,0,0,0,0,1,303
1001800,1,2,4,0,1001000,4,0,0,9,0,1,9,0,0,0,0,0,0,0,0,1001700,0,0,0,0,0,0,0,1,303
1001900,1,2,4,0,1001000,4,0,0,9,0,1,10,0,0,0,0,0,0,0,0,1001800,0,0,0,0,0,0,0,1,303
1002000,1,2,4,0,1001000,4,0,0,9,0,1,11,0,0,0,0,0,0,0,0,1001900,0,0,0,0,0,0,0,1,304
1002100,1,2,4,0,1001000,4,0,0,9,0,1,12,0,0,0,0,0,0,0,0,1002000,0,0,0,0,0,0,0,1,304
1002200,1,2,4,0,1001000,4,0,0,9,0,1,13,0,0,0,0,0,0,0,0,1002100,0,0,0,0,0,0,0,1,305
1002300,1,2,4,0,1001000,4,0,0,9,0,1,14,0,0,0,0,0,0,0,0,1002200,0,0,0,0,0,0,0,1,305
1002400,1,2,4,0,1001000,4,0,0,9,0,1,15,0,0,0,0,0,0,0,0,1002300,0,0,0,0,0,0,0,1,306
1002500,1,2,4,0,1001000,4,0,0,9,0,1,20,0,0,0,0,0,0,0,0,1002400,0,0,0,0,0,0,0,1,308
1002600,1,2,4,0,1001000,4,0,0,9,0,1,30,0,0,0,0,0,0,0,0,1002500,0,0,0,0,0,0,0,1,325
1002700,1,2,4,0,1001000,4,0,0,9,0,1,40,0,0,0,0,0,0,0,0,1002600,0,0,0,0,0,0,0,1,306
1002800,1,2,4,0,1001000,4,0,0,9,0,1,50,0,0,0,0,0,0,0,0,1002700,0,0,0,0,0,0,0,1,306
1002900,1,2,4,0,1001000,4,0,0,9,0,1,60,0,0,0,0,0,0,0,0,1002800,0,0,0,0,0,0,0,1,306
1003000,1,2,4,0,1001000,4,0,0,9,0,1,70,0,0,0,0,0,0,0,0,1002900,0,0,0,0,0,0,0,1,308
1003100,1,2,4,0,1001000,4,0,0,9,0,1,80,0,0,0,0,0,0,0,0,1003000,0,0,0,0,0,0,0,1,308
1003200,1,2,4,0,1001000,4,0,0,9,0,1,90,0,0,0,0,0,0,0,0,1003100,0,0,0,0,0,0,0,1,308
1003300,1,2,4,0,1001000,4,0,0,9,0,1,100,0,0,0,0,0,0,0,0,1003200,0,0,0,0,0,0,0,1,325
1003400,1,2,4,0,1001000,4,0,0,9,0,1,120,0,0,0,0,0,0,0,0,1003300,0,0,0,0,0,0,0,1,309
1003500,1,2,4,0,1001000,4,0,0,9,0,1,150,0,0,0,0,0,0,0,0,1003400,0,0,0,0,0,0,0,1,309
1003600,1,2,4,0,1001000,4,0,0,9,0,1,200,0,0,0,0,0,0,0,0,1003500,0,0,0,0,0,0,0,1,311
1003700,1,2,4,0,1001000,4,0,0,9,0,1,250,0,0,0,0,0,0,0,0,1003600,0,0,0,0,0,0,0,1,311
1003800,1,2,4,0,1001000,4,0,0,9,0,1,300,0,0,0,0,0,0,0,0,1003700,0,0,0,0,0,0,0,1,311
1003900,1,2,4,0,1001000,4,0,0,9,0,1,356,0,0,0,0,0,0,0,0,1003800,0,0,0,0,0,0,0,1,312
1004000,1,2,7,0,1004000,4,0,1,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250
1004100,1,2,7,0,1004000,4,0,0,13,0,1,5,0,0,0,0,0,0,0,0,1004000,0,0,0,0,0,0,0,1,251
1004200,1,2,7,0,1004000,4,0,0,13,0,1,10,0,0,0,0,0,0,0,0,1004100,0,0,0,0,0,0,0,1,252
1004300,1,2,7,0,1004000,4,0,0,13,0,1,15,0,0,0,0,0,0,0,0,1004200,0,0,0,0,0,0,0,1,253
1004400,1,2,7,0,1004000,4,0,0,13,0,1,20,0,0,0,0,0,0,0,0,1004300,0,0,0,0,0,0,0,1,254
1004500,1,2,7,0,1004000,4,0,0,13,0,1,25,0,0,0,0,0,0,0,0,1004400,0,0,0,0,0,0,0,1,255
1004600,1,2,7,0,1004000,4,0,0,13,0,1,30,0,0,0,0,0,0,0,0,1004500,0,0,0,0,0,0,0,1,256
1004700,1,2,7,0,1004000,4,0,0,13,0,1,35,0,0,0,0,0,0,0,0,1004600,0,0,0,0,0,0,0,1,257
1004800,1,2,7,0,1004000,4,0,0,13,0,1,40,0,0,0,0,0,0,0,0,1004700,0,0,0,0,0,0,0,1,258
1004900,1,2,7,0,1004000,4,0,0,13,0,1,45,0,0,0,0,0,0,0,0,1004800,0,0,0,0,0,0,0,1,259
1005000,1,2,7,0,1004000,4,0,0,13,0,1,50,0,0,0,0,0,0,0,0,1004900,0,0,0,0,0,0,0,1,260
1005100,1,2,7,0,1004000,4,0,0,13,0,1,55,0,0,0,0,0,0,0,0,1005000,0,0,0,0,0,0,0,1,261
1005200,1,2,7,0,1004000,4,0,0,13,0,1,60,0,0,0,0,0,0,0,0,1005100,0,0,0,0,0,0,0,1,262
1005300,1,2,7,0,1004000,4,0,0,13,0,1,65,0,0,0,0,0,0,0,0,1005200,0,0,0,0,0,0,0,1,263
1005400,1,2,7,0,1004000,4,0,0,13,0,1,70,0,0,0,0,0,0,0,0,1005300,0,0,0,0,0,0,0,1,264
